ticker,asset_type,date,px,avg_dollar_volume_20d,market_cap,min_price,min_avg_dollar_volume_20d,min_market_cap,market_cap_missing,is_exception,passes_price,passes_adv20,passes_market_cap,is_eligible
CLS,stock,2026-06-01,426.63,43035932.1215,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CLSK,stock,2026-06-01,18.815,16594115.893249998,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CMC,stock,2026-06-01,75.77,3521438.40125,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CMCSA,stock,2026-06-01,25.06,57427337.66024999,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CME,stock,2026-06-01,257.67,34257637.149000004,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CMG,stock,2026-06-01,30.53,37686478.440000005,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CMI,stock,2026-06-01,643.63,41102255.82275,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
CMPS,stock,2026-06-01,14.2,2042678.363,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CMS,stock,2026-06-01,70.58,10762097.054000001,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CNC,stock,2026-06-01,61.995,16487802.060500002,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CNH,stock,2026-06-01,9.85,11412151.09575,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CNK,stock,2026-06-01,31.01,3156693.8857500004,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
CNM,stock,2026-06-01,49.075,7913765.789999999,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
COF,stock,2026-06-01,184.53,51301806.4105,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
COHR,stock,2026-06-01,362.88,97744651.828,,3.0,20000000.0,300000000.0,True,False,True,True,True,True
COHU,stock,2026-06-01,54.505,3398603.51775,,3.0,20000000.0,300000000.0,True,False,True,False,True,True
