date,pivot_up,pivot_down,super_pivot_up,super_pivot_down,atr_swing_label,long_swing_label,short_swing_label,atr_entry_price,atr_exit_price,atr_holding_bars,atr_realized_return,tb_label,tb_entry_price,tb_exit_price,tb_holding_bars,tb_realized_return,tb_long_label,tb_short_label,cont_strength_long,cont_strength_short,leg_state,leg_up_label,leg_down_label,mfe_up_atr,mfe_down_atr,mae_up_atr,mae_down_atr,bars_to_exhaustion,bars_to_exhaustion_censored,bars_to_exhaustion_long,bars_to_exhaustion_short,bars_to_exhaustion_long_censored,bars_to_exhaustion_short_censored,exhaustion_progress_long,exhaustion_progress_short,trend_phase_ret,trend_phase_m,trend_phase_dm,trend_phase_a,trend_phase_label,trend_phase_dead,trend_phase_ignition,trend_phase_expansion,trend_phase_saturation
2025-08-07 14:10:00-04:00,0,1,0,0,1.0,1,0,629.195,630.12448974018,2.0,0.0014772681603953952,1.0,629.255,631.11397948036,8.0,0.002954254603237061,1,0,,,2,1,0,8.348666654994231,0.04303436420096211,0.801515033243653,0.04303436420096211,,,,,,,,,-0.0014678345869433285,-0.00031652251278295983,-0.00012119074464845983,-1.615448628872431e-05,0,1,0,0,0
2025-08-07 14:20:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,629.98,631.8183380889058,9.0,0.0029180896042821924,1,0,0.15000000000000002,1.0,2,1,0,7.653652004988538,0.5602886684533064,0.38621840252609557,0.5602886684533064,3.0,0,3.0,,0,,0.85,,0.0011521561211274012,-0.00017664835717244928,0.00013987415561051054,-1.2946156316543244e-06,0,1,0,0,0
2025-08-07 14:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.13,631.9613139396981,8.0,0.002906247821399033,1,0,0.09999999999999998,1.0,2,1,0,7.5191913857596795,0.6115827416158338,0.016381680578982247,0.6115827416158338,2.0,0,2.0,,0,,0.9,,0.00023810279691405256,-0.0001371482472594491,3.950010991300018e-05,2.5905963249794378e-06,0,1,0,0,0
2025-08-07 14:40:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.005,631.7876486582911,7.0,0.0028295785879335345,1,0,0.050000000000000044,1.0,2,1,0,7.864701737379764,0.19633706191741837,0.9536371578848769,0.19633706191741837,1.0,0,1.0,,0,,0.95,,-0.00019837176455650418,-0.0001429790584305972,-5.830811171148091e-06,1.788557515824435e-06,0,1,0,0,0
2025-08-07 14:50:00-04:00,1,0,0,0,0.0,0,0,630.855,631.3054362956748,5.0,0.000714009234570101,1.0,630.51,632.3117451826989,6.0,0.0028575996934210313,1,0,,,2,1,0,7.220776902820292,0.5217163942084145,0.16650523219413996,0.5217163942084145,,,,,,,,,0.0008015809398338458,-5.302096335779309e-05,8.99580950728041e-05,1.018565633077488e-05,0,1,0,0,0
2025-08-07 15:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.51,632.2501919553632,5.0,0.002759975187329733,1,0,0.6,0.95,2,1,0,7.476186727506281,0.5401702939167038,0.0,0.5401702939167038,12.0,0,12.0,,0,,0.4,,0.0,-4.797134779990803e-05,5.049615557885058e-06,9.69650959049966e-06,0,1,0,0,0
2025-08-07 15:10:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.245,631.928035387123,4.0,0.0026704462345961133,1,0,0.55,0.9,2,1,0,8.044988301253227,0.22578253725828007,0.30302393158338875,0.22578253725828007,11.0,0,11.0,,0,,0.44999999999999996,,-0.00042029468208271137,-8.343071296969883e-05,-3.5459365169790796e-05,5.395950089519616e-06,0,1,0,0,0
2025-08-07 15:20:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.28,631.9063900023285,3.0,0.002580424576900109,1,0,0.5,0.85,2,1,0,8.669507301331718,-0.04918869390835966,1.1497857201057575,-0.04918869390835966,10.0,0,10.0,,0,,0.5,,5.553395901580771e-05,-7.01959823044125e-05,1.3234730665286334e-05,6.142500620545018e-06,0,1,0,0,0
2025-08-07 15:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,630.615,632.258790716448,2.0,0.0026066470294046074,1,0,0.44999999999999996,0.8,2,1,0,8.170139827180037,-0.14600398797641653,1.1315309068171244,-0.14600398797641653,9.0,0,9.0,,0,,0.55,,0.0005315098051659195,-1.289066921199993e-05,5.7305313092412566e-05,1.1015149427389545e-05,0,1,0,0,0
2025-08-07 15:40:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,631.27,634.11,2.0,0.004498867362618286,1,0,0.4,0.75,2,1,0,7.304574442782231,0.4459888686187182,1.3138590994443542,0.4459888686187182,8.0,0,8.0,,0,,0.6,,0.0010386686012859858,8.725783274018918e-05,0.00010014850195218911,1.9504040144037124e-05,1,0,1,0,0
2025-08-07 15:50:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,632.36,634.11,1.0,0.0027674109684356907,1,0,0.35,0.7,2,1,0,5.682308854956078,-1.623516815701681,2.4638582660825206,-1.623516815701681,7.0,0,7.0,,0,,0.65,,0.0017266779666387233,0.0002433930835876686,0.00015613525084747943,3.251653640150782e-05,1,0,1,0,0
2025-08-08 09:30:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,634.32,636.2521968673601,3.0,0.0030460916688108686,1,0,0.30000000000000004,0.65,2,1,0,3.1156245523909485,0.21219369875092156,1.2007058075659176,0.21219369875092156,6.0,0,6.0,,0,,0.7,,0.0030995002846481157,0.0005154032932124731,0.00027201020962480443,5.5325457660869396e-05,1,0,1,0,0
2025-08-08 09:40:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,635.28,636.07,10.0,0.0012435461528776948,1,0,0.25,0.6,2,1,0,2.0611479190640396,0.3569304933013401,1.744434946134643,0.3569304933013401,5.0,0,5.0,,0,,0.75,,0.0015134317063940639,0.0006104536182773865,9.505032506491342e-05,5.910877836601645e-05,1,0,1,0,0
2025-08-08 09:50:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,635.83,635.18,10.0,-0.001022285831118519,0,1,0.19999999999999996,0.55,2,1,0,1.5284189597763171,0.9221461057317993,1.207450978223235,0.9221461057317993,4.0,0,4.0,,0,,0.8,,0.0008657599798516102,0.000634768509855884,2.4314891578497552e-05,5.579507486244322e-05,1,0,1,0,0
2025-08-08 10:00:00-04:00,0,0,0,0,0.0,0,0,,,,,-1.0,636.685,635.53,10.0,-0.0018140838876367082,0,1,0.15000000000000002,0.5,2,1,0,0.6616217370491203,1.805355437529106,0.3385041445367511,1.805355437529106,3.0,0,3.0,,0,,0.85,,0.0013446990547787419,0.0007023809427056801,6.761243284979603e-05,5.692053752790539e-05,1,0,1,0,0
2025-08-08 10:10:00-04:00,0,0,0,0,0.0,0,0,,,,,0.0,636.085,636.315,10.0,0.00036158689483323236,0,0,0.09999999999999998,0.44999999999999996,2,1,0,1.280826110486765,1.193380151136343,0.9567616728936732,1.193380151136343,2.0,0,2.0,,0,,0.9,,-0.0009423812403306364,0.0005457369252736499,-0.00015664401743203016,3.658105610314963e-05,1,0,1,0,0
2025-08-08 10:20:00-04:00,0,0,0,0,0.0,0,0,,,,,0.0,636.35,636.73,10.0,0.0005971556533355127,0,0,0.050000000000000044,0.4,2,1,0,1.048819349300112,1.5250689517884726,0.7116988441678809,1.5250689517884726,1.0,0,1.0,,0,,0.95,,0.0004166109875252122,0.0005334392169166559,-1.2297708356994027e-05,3.192593567837404e-05,1,0,1,0,0
2025-08-08 10:30:00-04:00,1,0,0,0,-1.0,0,1,637.015,636.0998577309979,2.0,-0.0014366102352411092,1.0,636.755,637.23,10.0,0.0007459698000016335,1,0,,,1,0,1,0.6283176064275429,1.9996890778475447,0.054636313602341016,1.9996890778475447,,,,,,,,,0.0006364422094757849,0.0005432490257318111,9.809808815155205e-06,2.981963788187701e-05,1,0,1,0,0
2025-08-08 10:40:00-04:00,0,0,0,0,0.0,0,0,,,,,0.0,636.445,636.77,10.0,0.0005106489955926108,0,0,0.44999999999999996,0.30000000000000004,1,0,1,1.3455178892296997,1.7186446988482131,0.028267182546818124,1.7186446988482131,6.0,0,,6.0,,0,,0.7,-0.0004868434484219808,0.0004451449805743071,-9.810404515750399e-05,1.7636429973364535e-05,1,0,1,0,0
2025-08-08 10:50:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,635.855,636.88,10.0,0.001612002736472995,1,0,0.4,0.25,1,0,1,2.0388741504948578,1.065254471887852,0.7044424733451546,1.065254471887852,5.0,0,,5.0,,0,,0.75,-0.0009270243304606574,0.0003144621890471676,-0.00013068279152713948,3.510789830459391e-06,1,0,1,0,0
2025-08-08 11:00:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,636.34,636.785,10.0,0.0006993116887197282,1,0,0.35,0.19999999999999996,1,0,1,1.4812816602955137,1.6185432813268978,0.02287693683852067,1.6185432813268978,4.0,0,,4.0,,0,,0.8,0.0007627525143312219,0.00035715650574088707,4.269431669371945e-05,7.242554293627015e-06,1,0,1,0,0
2025-08-08 11:10:00-04:00,0,0,0,0,0.0,0,0,,,,,1.0,636.0,636.53,10.0,0.0008333333333332416,1,0,0.30000000000000004,0.15000000000000002,1,0,1,1.9422735059252276,1.2770299809600731,0.20194892722153582,1.2770299809600731,3.0,0,,3.0,,0,,0.85,-0.0005343055599208446,0.00027225535663024595,-8.490114911064112e-05,-1.5330365067794732e-06,2,0,0,1,0
