theme,start,end,days,avg_rank,max_rank,total_return
mega_banks,2019-09-13,2019-09-24,7,7.625,19.0,-0.02106900705652104
oil_exploration,2019-09-16,2019-09-25,7,9.25,16.0,0.00607492255264952
data_centers,2019-09-18,2019-09-23,3,10.25,15.0,-0.013285733180252057
insurance,2019-09-19,2019-10-03,10,3.6363636363636362,15.0,-0.035533374631991466
biotech,2019-09-20,2019-09-25,3,10.25,19.0,-0.022640245994013486
defense,2019-09-24,2019-09-27,3,8.75,15.0,-0.01664391041330926
aerospace,2019-09-25,2019-09-30,3,8.0,14.0,-0.004695574031989946
vertical_software,2019-09-26,2019-10-04,6,8.571428571428571,13.0,-0.008436732930250268
consumer_staples,2019-09-27,2019-10-14,11,5.916666666666667,20.0,-0.006209919446320433
semis,2019-10-01,2019-10-08,5,7.166666666666667,17.0,-0.029656930138842186
pharma,2019-10-02,2019-10-08,4,9.4,13.0,-0.006671981148906436
uranium,2019-10-02,2019-10-15,9,4.3,14.0,0.03962084747768313
data_centers,2019-10-03,2019-10-08,3,8.5,15.0,0.00027811207540184846
dev_tools,2019-10-07,2019-10-16,7,9.375,29.0,-0.03925087826915097
business_apps,2019-10-09,2019-10-16,5,6.333333333333333,17.0,0.014398692287819648
gold,2019-10-10,2019-10-11,1,15.5,27.0,-0.024804066789931634
vertical_software,2019-10-11,2019-10-15,2,13.0,23.0,0.02119273438234104
pharma,2019-10-14,2019-10-25,9,8.4,14.0,0.02040723150513757
retail,2019-10-14,2019-10-29,11,7.416666666666667,24.0,0.025303168611741755
semis,2019-10-14,2019-11-19,26,6.851851851851852,15.0,0.11360281732613653
autos,2019-10-16,2019-10-23,5,6.5,13.0,-0.020745226043236364
china_internet,2019-10-16,2019-10-17,1,10.5,16.0,-5.2532354819390115e-05
mega_banks,2019-10-17,2019-11-15,21,4.409090909090909,15.0,0.08427986036327773
data_centers,2019-10-18,2019-11-01,10,7.636363636363637,21.0,0.011107905450439493
regional_banks,2019-10-18,2019-11-15,20,5.095238095238095,14.0,0.07299449542776837
consumer_internet,2019-10-21,2019-10-30,7,9.625,13.0,0.03045413286561227
biotech,2019-10-23,2019-12-17,38,4.256410256410256,14.0,0.22384145367950747
asset_managers,2019-10-24,2019-11-18,17,6.944444444444445,15.0,0.06378187164060334
pharma,2019-10-30,2019-11-05,4,7.2,16.0,0.008116790414860686
china_internet,2019-11-04,2019-11-13,7,5.375,15.0,0.01828899688833041
oil_exploration,2019-11-04,2019-11-06,2,13.333333333333334,26.0,-0.01638550515150583
