theme,start,end,days,peak_return,avg_return
apparel_beauty_lifestyle,2020-09-16,2020-09-16,1,0.01684209876256733,0.01684209876256733
construction_infrastructure,2020-09-16,2020-09-16,1,0.01852037663207929,0.01852037663207929
homebuilders_housing,2020-09-16,2020-09-16,1,0.023024427695370824,0.023024427695370824
copper,2020-09-17,2020-09-17,1,0.011876892678630476,0.011876892678630476
oil_exploration,2020-09-17,2020-09-17,1,0.016291667998995316,0.016291667998995316
rare_earth_critical_minerals,2020-09-18,2020-09-18,1,0.02320489607329529,0.02320489607329529
renewables_storage,2020-09-18,2020-09-21,2,0.016500509606143604,0.008750967253329666
crypto_infrastructure,2020-09-21,2020-09-21,1,0.021713953435743307,0.021713953435743307
fintech_payments,2020-09-21,2020-09-21,1,-0.0067742716503090316,-0.0067742716503090316
ai_apps,2020-09-22,2020-09-22,1,0.08319653910973734,0.08319653910973734
homebuilders_housing,2020-09-22,2020-09-22,1,0.027531206994772094,0.027531206994772094
retail_consumer,2020-09-22,2020-09-22,1,0.02480116369077427,0.02480116369077427
cloud,2020-09-23,2020-09-23,1,-0.019188769001696287,-0.019188769001696287
pharma,2020-09-23,2020-09-23,1,-0.007373857836833875,-0.007373857836833875
pharma_largecap,2020-09-23,2020-09-23,1,-0.003694787483484256,-0.003694787483484256
consumer_staples,2020-09-24,2020-09-24,1,0.007822961069087364,0.007822961069087364
semis,2020-09-24,2020-09-24,1,0.012942770254489961,0.012942770254489961
utilities_yield,2020-09-24,2020-09-24,1,0.010637132499779454,0.010637132499779454
creative_software,2020-09-25,2020-09-25,1,0.03397696438076734,0.03397696438076734
diagnostics_tools,2020-09-25,2020-09-29,3,0.028491045781663615,0.01636221958764528
vertical_software,2020-09-25,2020-09-25,1,0.02664700950628392,0.02664700950628392
airlines_travel,2020-09-28,2020-09-28,1,0.028783570101717563,0.028783570101717563
asset_managers_alts,2020-09-28,2020-09-28,1,0.032970841103418275,0.032970841103418275
storage,2020-09-28,2020-09-28,1,0.02789248569445094,0.02789248569445094
ai_infrastructure,2020-09-29,2020-09-29,1,0.014510440004174053,0.014510440004174053
solar,2020-09-29,2020-10-09,9,0.07034858402429153,0.024813990734786826
healthcare,2020-09-30,2020-09-30,1,0.028320055047671492,0.028320055047671492
homebuilders_housing,2020-09-30,2020-09-30,1,0.01962201036079525,0.01962201036079525
real_estate_reits,2020-10-01,2020-10-02,2,0.019212586660986207,0.017094455877639216
renewables_storage,2020-10-01,2020-10-01,1,0.03742892610957716,0.03742892610957716
construction_infrastructure,2020-10-02,2020-10-02,1,0.019732199910512428,0.019732199910512428
regional_banks,2020-10-02,2020-10-08,5,0.034635206448378586,0.01978237404609249
rare_earth_critical_minerals,2020-10-05,2020-10-05,1,0.04758238339688442,0.04758238339688442
renewables_storage,2020-10-06,2020-10-06,1,-0.011119459121277875,-0.011119459121277875
utilities_yield,2020-10-06,2020-10-06,1,0.01304689512644668,0.01304689512644668
apparel_beauty_lifestyle,2020-10-07,2020-10-07,1,0.031122620909064674,0.031122620909064674
industrial_automation,2020-10-07,2020-10-07,1,0.02659684959909171,0.02659684959909171
construction_infrastructure,2020-10-08,2020-10-08,1,0.019530845400190698,0.019530845400190698
oil_gas,2020-10-08,2020-10-08,1,0.04400207683319915,0.04400207683319915
gold_silver_miners,2020-10-09,2020-10-09,1,0.06408538943604519,0.06408538943604519
networking_optical,2020-10-09,2020-10-09,1,0.025835172405740455,0.025835172405740455
medtech_devices,2020-10-12,2020-10-14,3,0.011893422269483677,0.0002559483466272481
semis,2020-10-12,2020-10-12,1,0.011761418786174102,0.011761418786174102
utilities_yield,2020-10-12,2020-10-12,1,0.0007560477999957474,0.0007560477999957474
cloud,2020-10-13,2020-10-13,1,0.02978594479229753,0.02978594479229753
consumer_internet_marketplaces,2020-10-13,2020-10-15,3,0.006301804829945605,5.312926920942097e-05
cybersecurity,2020-10-13,2020-10-13,1,0.02184353500519946,0.02184353500519946
copper_metals,2020-10-14,2020-10-14,1,0.01739285757085766,0.01739285757085766
gold_silver_miners,2020-10-14,2020-10-14,1,0.025679371876367818,0.025679371876367818
asset_managers,2020-10-15,2020-10-16,2,0.01457469596697823,0.00916881245619039
vertical_software,2020-10-15,2020-10-15,1,0.010316742173079763,0.010316742173079763
china_internet,2020-10-16,2020-10-20,3,0.026038868401455344,0.005289790103603295
medtech,2020-10-16,2020-10-16,1,0.0077440996901852605,0.0077440996901852605
